Location,Dealer Type,KPI Target,Leads,Gap to KPI,Status
Northern JAC Motors,Metro,20,202,0,On track
JAC Motors Hampstead Gardens,Metro,20,62,0,On track
JAC Motors Wanneroo,Metro,20,57,0,On track
Sydney City JAC Motors,Metro,20,53,0,On track
von Bibra JAC Motors,Metro,20,51,0,On track
Cricks Highway JAC Motors,Metro,20,50,0,On track
JAC Motors Liverpool,Metro,20,43,0,On track
JAC Motors VicPark,Metro,20,42,0,On track
JAC Motors Queanbeyan,Metro,20,38,0,On track
E.L.N. JAC Motors,Metro,20,34,0,On track
JAC Motors Hillcrest,Metro,20,31,0,On track
JAC Motors Penrith,Metro,20,30,0,On track
Keystar JAC Motors Kippa-Ring,Metro,20,26,0,On track
JAC Motors Sunshine Coast - Maroochydore,Metro,20,24,0,On track
Keystar JAC Motors Morayfield,Metro,20,23,0,On track
Cricks Tweed JAC Motors,Metro,20,22,0,On track
Ipswich JAC Motors,Metro,20,16,4,Below target
JAC Motors Newcastle,Metro,20,16,4,Below target
JAC Motors Campbelltown,Metro,20,13,7,Below target
JAC Motors Capalaba,Metro,20,8,12,Below target
JAC Motors,Needs Jason confirmation,,279,,Jason to confirm reallocation
JAC Motors Midland,Rural,10,47,0,On track
JAC Motors Bendigo,Rural,10,18,0,On track
Coral Coast JAC Motors,Rural,10,15,0,On track
JAC Motors Sunshine Coast - Nambour,Rural,10,15,0,On track
JAC Motors Gawler,Rural,10,13,0,On track
Kings Cars JAC Motors,Rural,10,13,0,On track
JAC Motors Dubbo,Rural,10,12,0,On track
JAC Motors Wodonga,Rural,10,12,0,On track
Geoff King JAC Motors,Rural,10,10,0,On track
John Davis JAC Motors,Rural,10,9,1,Below target
JAC Motors Nowra,Rural,10,8,2,Below target
JAC Motors Rockhampton,Rural,10,6,4,Below target
JAC Motors Gympie,Rural,10,4,6,Below target
Wide Bay JAC Motors,Rural,10,4,6,Below target
Mildura JAC Motors,Rural,10,3,7,Below target
JAC Motors Bunbury,Rural,10,2,8,Below target
Woodley’s JAC Motors,Rural,10,2,8,Below target
